object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
68949,San Francisco,,,x1980-2714,https://artmuseum.princeton.edu/art/collections/68949,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02784,Qing dynasty (c. 1951),Unknown,Silver,0.65
68947,San Francisco,,,x1980-2712,https://artmuseum.princeton.edu/art/collections/68947,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02788,Qing dynasty (c. 1951),Unknown,Silver,0.65
68940,San Francisco,,,x1980-2706,https://artmuseum.princeton.edu/art/collections/68940,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02721,Qing dynasty (c. 1951),Unknown,Silver,0.65
68939,San Francisco,,,x1980-2705,https://artmuseum.princeton.edu/art/collections/68939,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02723,Qing dynasty (c. 1951),Unknown,Silver,0.65
68924,"Joyce Lancaster, San Francisco",,,x1980-2687,https://artmuseum.princeton.edu/art/collections/68924,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02755,Qing dynasty (c. 1951),Unknown,Silver,0.65
68922,"Joyce Lancaster, San Francisco",,,x1980-2689,https://artmuseum.princeton.edu/art/collections/68922,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02716,Qing dynasty (c. 1951),Unknown,Silver,0.65
68906,San Francisco,,,x1980-2279,https://artmuseum.princeton.edu/art/collections/68906,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02704,Qing dynasty (c. 1950),Unknown,Silver,0.65
68900,San Francisco,,,x1980-2293,https://artmuseum.princeton.edu/art/collections/68900,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02681,Qing dynasty (c. 1950),Unknown,Silver,0.65
68895,San Francisco,,,x1980-2269,https://artmuseum.princeton.edu/art/collections/68895,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02657,Qing dynasty (c. 1950),Unknown,Silver,0.65
68887,San Francisco,,,x1980-2261,https://artmuseum.princeton.edu/art/collections/68887,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02671,Qing dynasty (c. 1950),Unknown,Silver,0.65
68875,San Francisco,,,x1980-2248,https://artmuseum.princeton.edu/art/collections/68875,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02631,Qing dynasty (c. 1950),Unknown,Silver,0.65
68865,San Francisco,,,x1980-2233,https://artmuseum.princeton.edu/art/collections/68865,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02588,Qing dynasty (c. 1950),Unknown,Silver,0.65
68863,San Francisco,,,x1980-2231,https://artmuseum.princeton.edu/art/collections/68863,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02592,Qing dynasty (c. 1950),Unknown,Silver,0.65
68856,Krishna Stealing Butter with Balarama,Indian,,y1979-108,https://artmuseum.princeton.edu/art/collections/68856,https://media.artmuseum.princeton.edu/iiif/3/collection/INV37973,late 19th century,Unknown,Canvas,0.75
68844,"Hunters Point, San Francisco",,,x1980-2215,https://artmuseum.princeton.edu/art/collections/68844,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02551,Qing dynasty (c. 1950),Unknown,Silver,0.65
68839,"Produce Market, San Francisco",,,x1980-2210,https://artmuseum.princeton.edu/art/collections/68839,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02559,Qing dynasty (c. 1950),Unknown,Silver,0.65
68833,"Produce Market, San Francisco",,,x1980-2203,https://artmuseum.princeton.edu/art/collections/68833,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02571,Qing dynasty (c. 1950),Unknown,Silver,0.65
68826,"Produce Market, San Francisco",,,x1980-2195,https://artmuseum.princeton.edu/art/collections/68826,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02585,Qing dynasty (c. 1950),Unknown,Silver,0.65
68815,San Francisco,,,x1980-2184,https://artmuseum.princeton.edu/art/collections/68815,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02528,Qing dynasty (c. 1950),Unknown,Silver,0.65
